"zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv","target"
"0",18.1,0,0.679,5.304,"1",1.6475,24,666,20.2,0.99,26.64,10.4,1
"0",18.1,1,0.77,6.395,"1",2.5052,24,666,20.2,1.26,13.27,21.7,1
"1",2.95,0,0.428,6.595,"0",5.4011,3,252,18.3,1.26,4.32,30.8,0
"0",19.58,0,0.871,5.272,"1",1.7364,5,403,14.7,0.93,16.14,13.1,1
"0",8.14,0,0.538,5.834,"0",4.4986,4,307,21,1.26,8.47,19.9,1
"1",15.04,0,0.464,6.211,"0",3.6659,4,270,18.2,1.26,6.21,25,0
"1",3.97,0,0.647,7.327,"1",2.0788,5,264,13,1.26,11.25,31,1
"0",18.1,0,0.584,5.837,"0",1.9976,24,666,20.2,0.79,15.69,10.2,1
"0",18.1,0,0.718,4.963,"1",1.7523,24,666,20.2,1.19,14,21.9,1
"0",12.83,0,0.437,5.874,"0",4.5026,5,398,18.7,1.26,9.1,20.3,0
"0",18.1,0,0.7,4.368,"1",1.4395,24,666,20.2,1.16,30.63,8.8,1
"1",3.97,0,0.647,7.014,"1",2.1329,5,264,13,1.25,14.79,30.7,1
"0",3.41,0,0.489,7.079,"0",3.4145,2,270,17.8,1.26,5.7,28.7,0
"1",4.93,0,0.428,6.358,"0",7.0355,6,300,16.6,1.24,11.22,22.2,0
"0",18.1,0,0.7,6.051,"1",2.1678,24,666,20.2,1.25,18.76,23.2,1
"1",1.22,0,0.403,7.249,"0",8.6966,5,226,17.9,1.26,4.81,35.4,0
"0",2.46,0,0.488,5.604,"1",2.9879,3,193,17.8,1.26,13.98,26.4,0
"0",8.56,0,0.52,6.727,"0",2.7778,5,384,20.9,1.26,9.42,27.5,0
"1",3.75,0,0.394,7.454,"0",6.3361,3,244,15.9,1.25,3.11,44,0
"0",18.1,0,0.713,6.297,"1",2.3682,24,666,20.2,1.25,17.27,16.1,1
"0",18.1,1,0.718,8.78,"1",1.9047,24,666,20.2,1.23,5.29,21.9,1
"0",18.1,0,0.532,6.75,"0",3.3317,24,666,20.2,1.26,7.74,23.7,1
"1",3.78,0,0.484,6.696,"0",5.7321,5,370,17.6,1.26,7.18,23.9,0
"0",7.38,0,0.493,6.431,"0",5.4159,5,287,19.6,1.26,5.08,24.6,0
"1",6.96,0,0.464,6.24,"0",4.429,3,223,18.6,1.26,6.59,25.2,0
"0",18.1,0,0.74,6.152,"1",1.9142,24,666,20.2,0.73,26.45,8.7,1
"0",19.58,1,0.871,5.012,"1",1.6102,5,403,14.7,1.22,12.12,15.3,1
"0",6.91,0,0.448,6.211,"0",5.7209,3,233,17.9,1.26,7.44,24.7,0
"0",11.93,0,0.573,6.593,"0",2.4786,1,273,21,1.26,9.67,22.4,0
"0",18.1,0,0.74,6.251,"1",2.198,24,666,20.2,1.25,16.44,12.6,1
"0",18.1,0,0.597,6.657,"1",1.5275,24,666,20.2,0.82,21.22,17.2,1
"1",3.97,0,0.647,7.206,"1",1.9301,5,264,13,1.25,8.1,36.5,1
"1",3.37,0,0.398,6.29,"0",6.6115,4,337,16.1,1.26,4.67,23.5,0
"0",19.58,0,0.871,5.186,"1",1.5296,5,403,14.7,1.23,28.32,17.8,1
"0",18.1,0,0.679,5.957,"1",1.8026,24,666,20.2,0.76,20.62,8.8,1
"0",21.89,0,0.624,6.151,"1",1.6687,4,437,21.2,1.26,18.46,17.8,1
"1",5.13,0,0.453,6.762,"0",7.9809,8,284,19.7,1.26,9.5,25,0
"0",8.14,0,0.538,5.813,"1",4.0952,4,307,21,1.26,19.88,14.5,1
"1",2.24,0,0.4,6.345,"0",7.8278,5,358,14.8,1.24,4.97,22.5,0
"1",6.96,1,0.464,7.691,"0",4.3665,3,223,18.6,1.26,6.58,35.2,0
"1",5.86,0,0.431,6.226,"0",8.0555,7,330,19.1,1.24,10.15,20.5,0
"0",13.89,1,0.55,5.951,"1",2.8893,5,276,16.4,1.26,17.92,21.5,0
"0",18.1,0,0.671,6.38,"1",1.3861,24,666,20.2,1.26,23.69,13.1,1
"0",9.69,0,0.585,5.707,"0",2.3817,6,391,19.2,1.26,12.01,21.8,0
"0",21.89,0,0.624,5.942,"1",1.9669,4,437,21.2,1.25,16.9,17.4,1
"0",25.65,0,0.581,5.879,"1",2.0063,2,188,19.1,1.25,17.58,18.8,0
"0",18.1,0,0.7,4.88,"1",1.5895,24,666,20.2,1.24,30.62,10.2,1
"0",5.19,0,0.515,6.31,"0",6.4584,5,224,20.2,1.25,6.75,20.7,0
"0",18.1,0,0.584,6.003,"1",2.5403,24,666,20.2,1.21,21.32,19.1,1
"1",3.97,0,0.575,7.47,"0",2.872,5,264,13,1.25,3.16,43.5,1
"0",18.1,0,0.614,6.484,"1",2.3053,24,666,20.2,1.26,18.68,16.7,1
"1",6.07,0,0.409,5.878,"0",6.498,4,345,18.9,1.26,8.1,22,0
"1",3.97,0,0.647,7.333,"1",1.8946,5,264,13,1.25,7.79,36,1
"0",9.9,0,0.544,6.023,"1",2.834,4,304,18.4,1.26,11.72,19.4,1
"1",1.52,0,0.442,7.241,"0",7.0379,1,284,15.5,1.26,5.49,32.7,0
"1",3.97,0,0.647,8.704,"1",1.801,5,264,13,1.25,5.12,50,1
"0",6.2,0,0.507,7.358,"0",4.148,8,307,17.4,1.25,4.73,31.5,1
"0",13.92,0,0.437,5.79,"0",6.32,4,289,16,1.26,15.84,20.3,0
"0",27.74,0,0.609,5.454,"1",1.8209,4,711,20.1,1.26,18.06,15.2,0
"0",6.2,0,0.507,8.337,"0",3.8384,8,307,17.4,1.25,2.47,41.7,1
"0",8.14,0,0.538,6.072,"1",4.175,4,307,21,1.24,13.04,14.5,1
"0",18.1,0,0.713,6.317,"1",2.7344,24,666,20.2,1.26,13.99,19.5,1
"0",18.1,0,0.655,5.759,"0",3.0665,24,666,20.2,1.21,14.13,19.9,1
"0",18.1,0,0.713,7.393,"1",2.4527,24,666,20.2,1.24,16.74,17.8,1
"0",7.38,0,0.493,5.708,"0",4.7211,5,287,19.6,1.26,11.74,18.5,1
"0",18.1,0,0.583,6.114,"0",3.5459,24,666,20.2,1.26,14.98,19.1,1
"0",13.89,1,0.55,6.373,"1",3.3633,5,276,16.4,1.26,10.5,23,0
"1",1.47,0,0.403,7.135,"0",7.6534,3,402,17,1.25,4.45,32.9,0
"1",1.91,0,0.413,5.936,"0",10.5857,4,334,22,1.24,5.57,20.6,0
"1",6.09,0,0.433,6.982,"0",5.4917,7,329,16.1,1.25,4.86,33.1,0
"0",4.05,0,0.51,6.02,"0",3.5549,5,296,16.6,1.26,10.11,23.2,0
"0",21.89,0,0.624,5.857,"1",1.6686,4,437,21.2,1.26,21.32,13.3,0
"0",18.1,0,0.74,6.406,"1",2.0651,24,666,20.2,1.25,19.52,17.1,1
"0",9.9,0,0.544,5.914,"1",3.9986,4,304,18.4,1.26,18.33,17.8,1
"0",19.58,0,0.871,5.628,"1",1.5166,5,403,14.7,1.04,16.65,15.6,1
"0",18.1,0,0.713,6.436,"1",2.3158,24,666,20.2,0.95,16.22,14.3,1
"1",6.41,0,0.447,6.482,"0",4.1403,4,254,17.6,1.26,7.19,29.1,0
"0",25.65,0,0.581,5.87,"0",2.2577,2,188,19.1,1.25,14.37,22,0
"0",18.1,0,0.718,6.006,"1",1.8746,24,666,20.2,1.2,15.7,14.2,1
"0",19.58,0,0.871,4.926,"1",1.4608,5,403,14.7,1.26,29.53,14.6,1
"0",8.56,0,0.52,6.229,"1",2.5451,5,384,20.9,1.26,15.55,19.4,1
"0",10.81,0,0.413,5.961,"0",5.2873,4,305,19.2,1.24,9.88,21.7,0
"1",3.33,0,0.4429,6.812,"0",4.1007,5,216,14.9,1.26,4.85,35.1,0
"0",2.46,0,0.488,6.563,"1",2.847,3,193,17.8,1.26,5.68,32.5,0
"0",18.1,0,0.77,6.112,"1",2.5091,24,666,20.2,1.26,12.67,22.6,1
"1",1.47,0,0.403,6.975,"0",7.6534,3,402,17,1.26,4.56,34.9,0
"1",3.97,0,0.647,7.203,"1",2.1121,5,264,13,1.26,9.59,33.8,1
"0",18.1,0,0.693,5.987,"1",1.5888,24,666,20.2,1.26,26.77,5.6,1
"0",25.65,0,0.581,6.004,"1",2.1974,2,188,19.1,1.24,14.27,20.3,0
"0",2.89,0,0.445,8.069,"0",3.4952,2,276,18,1.26,4.21,38.7,0
"1",6.07,0,0.409,5.594,"0",6.498,4,345,18.9,1.26,13.09,17.4,0
"0",19.58,0,0.871,4.903,"1",1.3459,5,403,14.7,1.26,29.29,11.8,1
"1",6.41,1,0.447,6.826,"0",4.8628,4,254,17.6,1.26,4.16,33.1,0
"1",5.86,0,0.431,6.487,"0",7.3967,7,330,19.1,1.26,5.9,24.4,0
"0",9.69,0,0.585,5.926,"0",2.3817,6,391,19.2,1.26,13.59,24.5,1
"0",10.01,0,0.547,5.928,"1",2.4631,6,432,17.8,1.22,15.76,18.3,0
"0",19.58,0,0.871,6.13,"1",1.4191,5,403,14.7,1.05,27.8,13.8,1
"0",3.41,0,0.489,7.007,"1",3.4217,2,270,17.8,1.26,5.5,23.6,0
"0",19.58,0,0.871,6.122,"1",1.618,5,403,14.7,1.24,14.1,21.5,1
"0",19.58,0,0.871,5.468,"1",1.4118,5,403,14.7,1.26,26.42,15.6,1
"0",18.1,0,0.77,6.398,"1",2.5182,24,666,20.2,1.24,7.79,25,1
"0",11.93,0,0.573,6.03,"1",2.505,1,273,21,1.26,7.88,11.9,0
"0",18.1,0,0.713,6.417,"1",2.185,24,666,20.2,1.18,19.31,13,1
"0",18.1,0,0.659,4.138,"1",1.1781,24,666,20.2,1.24,23.34,11.9,1
"0",21.89,0,0.624,5.822,"1",2.4699,4,437,21.2,1.25,15.03,18.4,1
"0",4.05,0,0.51,6.546,"0",3.1323,5,296,16.6,1.26,5.33,29.4,0
"0",25.65,0,0.581,5.986,"1",1.9929,2,188,19.1,1.25,14.81,21.4,0
"0",18.1,0,0.713,6.513,"1",2.8016,24,666,20.2,1.26,10.29,20.2,1
"0",18.1,0,0.713,5.976,"1",2.5806,24,666,20.2,0.73,19.01,12.7,1
"0",8.14,0,0.538,5.813,"1",4.682,4,307,21,1.24,14.81,16.6,1
"0",18.1,0,0.679,6.202,"0",1.8629,24,666,20.2,0.77,14.52,10.9,1
"1",5.86,0,0.431,6.108,"0",8.0555,7,330,19.1,1.25,9.16,24.3,1
"1",1.69,0,0.411,6.579,"0",10.7103,4,411,18.3,1.24,5.49,24.1,0
"1",7.87,0,0.524,5.889,"0",5.4509,5,311,15.2,1.25,15.71,21.7,0
"0",21.89,0,0.624,6.326,"1",2.271,4,437,21.2,1.26,12.26,19.6,1
"0",18.1,0,0.713,6.301,"1",2.7831,24,666,20.2,1.15,16.23,14.9,1
"0",10.81,0,0.413,6.065,"0",5.2873,4,305,19.2,1.26,5.52,22.8,0
"0",18.1,0,0.597,5.757,"1",1.413,24,666,20.2,0.68,10.11,15,1
"0",9.9,0,0.544,6.266,"1",3.2628,4,304,18.4,1.26,7.9,21.6,1
"0",10.01,0,0.547,6.254,"1",2.2565,6,432,17.8,1.25,10.45,18.5,0
"0",18.1,0,0.7,5.536,"1",1.5804,24,666,20.2,1.26,23.6,11.3,1
"0",18.1,0,0.693,6.405,"1",1.6768,24,666,20.2,1.26,19.37,12.5,1
"0",19.58,0,0.605,5.854,"1",2.422,5,403,14.7,1.26,11.64,22.7,1
"0",8.14,0,0.538,5.727,"0",3.7965,4,307,21,1.26,11.28,18.2,1
"0",6.2,1,0.507,6.951,"1",2.8617,8,307,17.4,1.26,9.71,26.7,1
"0",4.49,0,0.449,6.015,"0",4.4272,3,247,18.5,1.26,12.86,22.5,0
"0",27.74,0,0.609,5.983,"1",2.1099,4,711,20.1,1.26,13.35,20.1,0
"0",18.1,1,0.77,6.212,"1",2.1222,24,666,20.2,1.24,17.6,17.8,1
"0",7.38,0,0.493,6.041,"0",4.7211,5,287,19.6,1.26,7.7,20.4,1
"0",18.1,0,0.631,4.97,"1",1.3325,24,666,20.2,1.24,3.26,50,1
"1",6.41,1,0.447,7.267,"0",4.7872,4,254,17.6,1.25,6.05,33.2,0
"0",6.91,0,0.448,6.77,"0",5.7209,3,233,17.9,1.25,4.84,26.6,0
